plant_type,soil_type,pot_size,growth_stage,moisture,temperature,humidity,light,sunlight_hours,time_since_last_water,watering_frequency,water_needed,health_score
Areca Palm,loamy,large,young,62.7,28.1,55.7,308.8,6.9,1.2,4,0,100.0
Fern,sandy,small,young,44.5,25.1,81.58354575622275,585.2,4.9,19.1,5,1,100.0
Areca Palm,sandy,medium,young,44.8,16.2,53.7,309.9,6.4,56.3,3,0,85.2
Money Plant,sandy,small,mature,49.9,28.1,56.6,538.9,5.3,32.0,4,0,100.0
Fern,clay,large,seedling,46.8,16.9,75.27470927246243,182.4,2.5,41.9,4,1,75.6
Peace Lily,sandy,medium,seedling,47.0,26.5,87.53588995451942,382.4,5.3,66.1,3,1,88.1
Monstera,clay,medium,young,78.5,28.5,74.77842881245562,482.1,4.1,64.8,3,0,100.0
Monstera,clay,large,young,65.4,20.3,88.65322434522217,494.7,5.0,67.1,3,0,99.5
Tulsi,loamy,small,young,38.9,17.3,33.7,593.4,5.8,25.0,2,1,90.0
Fern,clay,small,mature,68.5,38.0,92.43055497030917,271.0,3.5,50.1,5,0,85.9
Aloe Vera,loamy,medium,mature,19.1,20.9,26.9,696.1,8.9,24.3,1,0,100.0
Tulsi,sandy,large,mature,37.4,20.4,91.9,365.5,6.8,68.5,2,1,83.1
Tulsi,sandy,small,seedling,48.7,23.3,93.8,489.0,6.1,62.7,4,0,95.1
Jade Plant,loamy,large,mature,18.0,28.1,62.3,736.6,8.6,56.9,1,0,100.0
Tulsi,sandy,medium,mature,53.4,15.8,82.8,512.6,4.7,65.1,3,0,87.8
Snake Plant,sandy,large,mature,32.1,32.4,39.6,301.0,5.0,21.1,2,0,100.0
Monstera,loamy,medium,young,51.8,34.2,80.47346309453371,250.6,2.2,38.4,3,1,100.0
Money Plant,clay,large,mature,40.8,32.2,63.1,381.5,4.4,5.7,4,0,98.8
Fern,sandy,small,young,76.5,27.4,93.6960493476106,331.4,5.7,41.3,3,0,100.0
Money Plant,clay,medium,seedling,56.5,16.7,90.5,572.0,5.3,25.2,2,0,75.6
Peace Lily,clay,medium,young,81.9,20.4,93.3,277.9,3.7,5.9,3,0,95.7
Tulsi,clay,medium,young,57.4,20.4,67.7,363.0,4.8,6.7,3,0,100.0
Spider Plant,sandy,small,mature,48.0,24.4,61.2,669.3,7.3,26.6,1,0,96.8
Aloe Vera,sandy,small,young,4.2,30.5,44.2,759.9,9.6,57.4,1,1,85.5
Areca Palm,clay,large,seedling,39.9,24.4,53.8,310.9,5.1,3.6,4,1,100.0
Jade Plant,sandy,small,young,20.1,20.3,63.6,815.4,7.6,64.8,1,0,99.7
Snake Plant,loamy,medium,young,19.7,26.1,64.7,927.8,7.3,58.5,1,1,80.7
Spider Plant,clay,large,mature,40.3,36.8,90.6,689.2,7.2,34.9,1,1,88.4
Jade Plant,loamy,small,young,22.8,36.7,49.1,531.5,6.5,50.2,1,1,70.7
Money Plant,sandy,large,mature,56.5,37.3,32.6,595.1,5.6,58.7,4,0,90.2
Spider Plant,sandy,small,mature,49.8,16.9,25.0,560.3,6.3,6.2,1,0,93.9
Snake Plant,sandy,small,mature,37.9,20.8,48.9,482.3,6.6,43.9,1,0,100.0
Aloe Vera,loamy,large,young,11.5,22.4,47.8,1157.1,7.6,44.6,1,0,98.8
Aloe Vera,loamy,large,seedling,10.0,15.2,85.7,533.9,6.8,49.1,1,0,68.4
Areca Palm,sandy,large,seedling,66.2,22.6,73.6,519.2,4.0,32.8,4,0,100.0
Fern,sandy,small,young,54.3,27.1,70.59993370531771,255.0,3.1,25.6,5,1,98.6
Peace Lily,sandy,small,seedling,79.2,35.5,93.4202092107714,433.0,4.4,61.1,4,0,76.8
Peace Lily,clay,small,young,51.1,27.0,92.4,503.8,4.5,24.8,4,1,100.0
Areca Palm,loamy,medium,young,60.2,25.4,25.7,465.4,6.6,29.7,4,0,100.0
Fern,clay,large,seedling,53.8,25.2,90.51865956590365,262.5,2.8,62.1,3,1,81.5
Money Plant,sandy,small,seedling,64.9,37.5,76.4,348.6,4.2,69.8,4,0,80.8
Aloe Vera,loamy,medium,seedling,31.3,37.3,94.5,344.6,6.4,63.8,1,1,47.5
Monstera,sandy,medium,mature,42.8,18.0,73.3,265.4,2.5,59.5,5,1,82.6
Snake Plant,loamy,small,mature,28.0,19.7,45.7,477.2,4.6,30.7,1,0,100.0
Areca Palm,sandy,large,seedling,34.5,35.4,68.6,482.7,5.7,57.2,3,1,67.2
Fern,clay,medium,young,54.0,18.3,91.9,100.4,2.8,64.1,4,1,81.5
Areca Palm,loamy,small,seedling,69.2,29.9,74.1,308.4,5.8,57.9,3,0,89.0
Fern,loamy,medium,young,80.6,21.7,72.80126138141551,177.4,3.8,48.7,4,0,98.7
Areca Palm,sandy,small,seedling,43.5,17.0,40.1,468.5,4.5,33.8,4,0,78.2
Monstera,clay,small,seedling,48.1,19.7,88.6,140.6,3.5,36.0,5,1,97.2
Aloe Vera,loamy,large,seedling,11.0,29.3,27.4,1112.9,7.7,69.9,1,0,88.9
Areca Palm,clay,small,young,54.9,18.1,81.9,332.6,6.3,34.4,2,0,100.0
Areca Palm,sandy,medium,mature,44.3,36.1,62.8,509.7,5.0,11.5,2,1,89.5
Snake Plant,sandy,medium,mature,37.9,35.9,59.5,1174.8,7.2,69.7,2,1,74.3
Aloe Vera,sandy,small,young,15.8,16.3,85.9,348.9,7.0,12.3,1,0,73.9
Fern,sandy,large,mature,74.3,31.9,81.80496333364411,539.9,5.5,56.8,5,0,97.1
Areca Palm,sandy,medium,young,56.6,17.1,77.7,332.9,5.4,31.7,3,0,94.6
Spider Plant,loamy,medium,mature,27.3,16.5,37.1,638.5,7.8,57.2,1,0,86.7
Peace Lily,loamy,medium,seedling,48.8,16.2,94.95033598197001,114.6,2.6,52.3,3,1,61.4
Peace Lily,sandy,large,young,67.4,35.5,92.1,121.9,3.8,30.9,4,0,87.0
Monstera,loamy,large,seedling,59.8,27.7,74.49525487216665,189.5,2.4,60.8,5,0,95.1
Monstera,loamy,medium,mature,47.5,17.6,73.21416428635384,562.9,5.3,33.8,5,1,86.1
Monstera,loamy,large,mature,70.6,25.5,78.42267805847102,482.4,5.4,60.7,4,0,100.0
Areca Palm,loamy,small,mature,52.8,18.3,50.0,469.0,6.2,40.5,2,0,100.0
Jade Plant,sandy,medium,mature,5.8,24.7,82.4,648.4,7.3,52.5,1,1,72.1
Spider Plant,sandy,small,mature,31.8,31.8,75.7,394.6,6.4,47.4,1,0,98.5
Jade Plant,loamy,large,mature,24.2,19.9,59.4,737.0,8.5,57.7,1,0,99.2
Monstera,sandy,medium,mature,49.9,24.5,69.1739767965274,140.4,2.5,47.4,3,1,99.9
Jade Plant,loamy,medium,seedling,17.3,21.5,94.8,1139.9,8.8,29.2,1,0,87.7
Areca Palm,clay,medium,young,62.1,26.1,75.0,492.2,5.3,27.6,4,0,100.0
Snake Plant,sandy,small,mature,45.9,15.5,53.1,967.8,7.6,62.0,1,0,86.4
Monstera,clay,small,seedling,60.1,37.6,80.72131717073678,152.1,2.3,37.5,5,0,79.0
Snake Plant,sandy,medium,mature,40.3,22.8,66.6,984.9,8.8,60.3,1,0,100.0
Tulsi,clay,small,seedling,74.4,25.9,26.5,346.2,4.9,13.3,4,0,99.2
Tulsi,clay,large,young,70.7,35.7,91.1,412.7,6.6,49.6,3,0,87.0
Areca Palm,clay,large,mature,54.7,37.6,75.2,343.3,4.2,54.1,4,0,89.7
Snake Plant,sandy,large,young,13.6,23.7,27.9,663.6,8.7,37.8,2,1,100.0
Peace Lily,loamy,small,young,60.6,31.7,89.27227536950417,270.7,3.3,69.8,4,0,100.0
Money Plant,clay,medium,young,57.7,37.4,43.1,532.8,4.7,13.2,4,0,88.0
Snake Plant,loamy,medium,young,49.6,18.8,44.3,840.3,7.8,20.9,2,0,98.2
Jade Plant,sandy,large,young,22.1,16.2,69.8,504.4,6.6,70.0,1,0,94.1
Spider Plant,clay,large,mature,26.9,18.6,51.3,1037.3,8.5,7.0,2,0,99.6
Fern,loamy,small,young,62.5,27.0,93.13366821873205,245.7,3.4,66.7,5,0,98.8
Monstera,clay,large,seedling,81.0,30.1,92.7,545.5,4.3,27.5,5,0,89.6
Peace Lily,clay,medium,seedling,63.3,18.9,76.99876267771653,380.1,4.7,66.7,4,0,93.0
Fern,clay,large,young,68.9,30.2,61.28632093887446,283.2,2.2,10.1,4,0,100.0
Aloe Vera,clay,large,mature,11.9,22.5,58.7,952.0,7.9,66.5,1,0,100.0
Tulsi,loamy,small,seedling,67.0,22.7,70.9,364.3,6.8,9.7,2,0,100.0
Snake Plant,sandy,medium,young,39.1,24.3,37.4,398.0,6.8,29.7,2,0,100.0
Money Plant,loamy,small,mature,66.3,18.5,63.4,323.1,4.2,8.6,2,0,96.3
Snake Plant,clay,small,seedling,47.6,33.0,86.4,538.2,5.8,51.9,2,0,89.6
Areca Palm,loamy,small,mature,45.4,21.3,87.5,456.4,4.4,34.0,3,0,97.9
Spider Plant,loamy,large,seedling,15.6,33.5,85.3,1016.1,8.6,11.2,2,1,85.3
Snake Plant,loamy,large,mature,43.8,37.0,83.2,328.1,5.4,14.5,2,1,86.5
Fern,sandy,small,seedling,55.3,18.9,74.21075372471063,184.7,2.9,2.4,5,0,91.1
Peace Lily,clay,large,young,72.6,32.4,94.66271047982724,478.9,4.5,23.7,5,0,100.0
Tulsi,clay,medium,young,49.4,15.9,29.0,385.1,6.1,69.0,4,0,93.8
Tulsi,loamy,large,seedling,36.8,31.3,87.9,513.9,5.3,42.9,2,1,89.1
Jade Plant,loamy,small,mature,29.9,31.7,76.0,654.9,8.5,27.5,1,0,83.2
Snake Plant,sandy,small,seedling,49.0,26.4,68.9,345.0,4.6,0.6,1,0,99.2
Jade Plant,loamy,medium,seedling,18.7,16.1,75.1,868.3,8.7,6.7,1,0,63.6
Peace Lily,clay,small,mature,64.7,19.3,91.28361518903783,511.2,5.4,4.5,4,0,97.8
Peace Lily,clay,large,young,83.8,29.2,73.9,220.5,3.3,39.7,5,0,100.0
Jade Plant,clay,large,mature,15.6,32.8,29.3,1092.9,9.4,28.1,1,0,100.0
Spider Plant,sandy,large,mature,22.3,22.8,31.8,615.1,8.3,33.7,2,0,95.3
Aloe Vera,sandy,small,young,13.3,24.4,89.7,852.0,8.5,47.0,1,0,89.2
Areca Palm,loamy,small,young,53.3,36.6,31.3,319.9,6.0,33.8,4,0,86.6
Jade Plant,loamy,large,young,27.1,26.4,37.3,810.8,8.1,24.6,1,0,100.0
Money Plant,sandy,medium,seedling,35.2,37.7,80.5,315.9,6.0,47.0,2,1,84.5
Areca Palm,loamy,small,young,39.6,35.3,40.9,551.3,6.4,70.3,4,1,72.4
Areca Palm,clay,medium,young,69.0,16.4,39.6,487.1,4.6,65.0,3,0,94.4
Fern,clay,large,seedling,71.0,23.6,68.81237547392297,591.4,4.7,58.1,3,0,96.4
Spider Plant,clay,small,mature,29.8,24.2,90.7,368.2,5.1,69.1,2,0,98.5
Money Plant,loamy,medium,mature,53.8,24.8,32.0,467.4,6.6,32.8,3,0,98.4
Aloe Vera,loamy,small,seedling,6.1,16.4,81.5,767.1,8.7,55.8,1,1,45.9
Areca Palm,sandy,medium,young,49.5,31.2,55.0,538.1,6.1,68.1,2,0,100.0
Snake Plant,clay,small,seedling,35.9,32.6,80.5,1047.5,8.1,63.7,1,0,89.2
Jade Plant,loamy,medium,seedling,23.5,25.8,85.6,739.6,7.5,1.7,1,0,82.4
Jade Plant,loamy,medium,mature,10.0,27.0,78.9,660.2,8.4,16.2,1,0,86.7
Areca Palm,clay,medium,young,70.8,21.9,42.4,418.6,4.1,71.7,3,0,96.4
Spider Plant,sandy,large,young,22.6,16.6,27.0,485.7,4.3,5.8,1,0,87.6
Aloe Vera,loamy,small,young,10.9,22.6,44.3,763.1,7.9,24.7,1,0,99.3
Tulsi,sandy,medium,young,52.4,28.1,86.0,489.0,4.5,33.9,4,0,97.7
Snake Plant,clay,large,mature,41.6,23.9,67.6,356.7,6.5,9.4,2,0,100.0
Monstera,clay,small,mature,65.7,17.7,91.70733911520873,261.5,3.7,61.8,3,0,92.0
Money Plant,loamy,large,mature,51.5,28.4,40.8,319.9,5.3,10.4,4,0,100.0
Snake Plant,loamy,medium,mature,33.4,33.3,88.1,312.5,5.3,4.4,2,1,97.5
Aloe Vera,loamy,small,mature,28.8,18.7,36.4,1181.0,7.2,16.0,1,0,99.4
Monstera,loamy,medium,mature,44.8,29.6,77.6281640695794,391.4,5.6,30.6,3,1,97.8
Jade Plant,loamy,medium,seedling,28.1,31.3,38.1,441.9,6.8,46.5,1,0,92.8
Tulsi,loamy,medium,young,44.2,16.5,45.2,407.8,4.4,20.6,3,0,91.7
Tulsi,clay,small,young,47.0,22.9,60.2,450.1,5.0,70.9,3,0,100.0
Fern,loamy,small,seedling,68.6,36.4,69.57269535268433,404.8,4.5,62.3,4,0,80.5
Aloe Vera,loamy,large,seedling,28.6,17.8,85.5,316.4,6.9,38.4,1,0,62.1
Snake Plant,sandy,small,young,44.9,17.3,89.3,406.9,6.1,6.6,2,0,92.9
Areca Palm,sandy,large,seedling,59.6,29.7,35.4,544.5,5.6,15.7,4,0,85.9
Spider Plant,clay,small,mature,14.9,26.5,25.1,556.0,5.4,63.0,2,1,85.5
Fern,clay,small,seedling,46.3,23.2,90.53640482941061,563.7,5.2,4.1,3,1,100.0
Spider Plant,clay,medium,mature,48.6,37.0,30.4,826.8,8.8,10.5,1,0,93.8
Aloe Vera,loamy,small,young,11.5,21.3,55.1,786.5,8.3,66.7,1,0,100.0
Jade Plant,sandy,small,young,13.5,21.9,64.0,727.4,7.9,26.5,1,0,100.0
Spider Plant,sandy,large,mature,32.7,29.2,29.0,481.8,4.8,26.2,2,0,97.1
Tulsi,sandy,large,mature,53.0,30.0,54.3,310.1,5.0,0.8,2,0,96.4
Money Plant,sandy,large,young,70.8,16.1,50.6,343.7,4.5,9.1,4,0,88.1
Peace Lily,loamy,large,seedling,79.5,35.3,76.47501500456838,579.0,5.3,14.8,5,0,75.5
Peace Lily,sandy,large,young,57.3,35.9,94.3,562.5,4.7,64.0,4,0,93.2
Areca Palm,loamy,medium,young,33.2,33.9,63.9,336.8,5.3,67.5,3,1,89.3
Jade Plant,clay,large,young,6.7,32.1,82.8,401.0,6.8,37.9,1,1,89.6
Aloe Vera,loamy,large,young,17.9,37.4,67.8,462.6,6.1,22.0,1,1,89.3
Spider Plant,sandy,large,young,25.2,30.5,52.8,442.1,6.7,35.3,2,0,100.0
Monstera,clay,large,mature,65.0,28.0,78.0388851948986,462.5,4.9,59.2,4,0,100.0
Fern,loamy,large,seedling,43.3,28.5,73.65016542359781,205.4,3.2,62.5,5,1,84.8
Peace Lily,clay,small,young,83.3,34.2,66.38678924547924,405.4,5.9,10.0,5,0,98.2
Money Plant,sandy,small,mature,67.6,28.2,80.7,422.9,5.4,47.7,4,0,99.7
Fern,clay,small,seedling,78.3,37.1,89.33805456415706,283.9,3.4,55.7,3,0,81.3
Aloe Vera,sandy,small,mature,26.7,34.9,33.8,1119.2,8.1,33.5,1,1,97.7
Spider Plant,sandy,medium,mature,20.9,30.8,62.2,464.6,4.7,46.7,2,0,100.0
Areca Palm,loamy,medium,seedling,59.1,25.0,84.8,439.4,6.1,68.5,3,0,100.0
Fern,loamy,small,mature,70.1,30.4,72.1,325.3,5.9,8.8,4,0,100.0
Tulsi,loamy,medium,young,51.5,37.9,79.5,464.5,6.4,28.0,3,0,87.0
Spider Plant,clay,medium,seedling,31.9,16.4,92.9,437.1,4.9,43.3,1,0,81.2
Areca Palm,clay,medium,young,56.2,37.0,87.4,479.8,4.7,29.5,2,0,86.4
Money Plant,clay,large,seedling,55.5,21.5,69.9,338.4,5.2,17.1,3,0,97.1
Aloe Vera,sandy,medium,young,10.4,19.1,28.3,546.0,6.6,22.1,1,0,99.9
Money Plant,loamy,large,mature,58.1,30.2,33.3,358.7,6.9,35.2,3,0,98.3
Tulsi,loamy,small,mature,67.7,15.2,49.5,410.0,4.1,34.4,4,0,93.7
Money Plant,loamy,small,mature,37.0,30.7,82.8,300.7,6.4,69.7,2,1,80.5
Fern,sandy,large,young,76.0,16.5,85.45864124765379,246.1,3.1,7.3,3,0,91.3
Peace Lily,loamy,medium,mature,47.4,35.2,71.5,265.2,2.8,49.3,5,1,79.8
Aloe Vera,sandy,large,mature,24.7,29.1,37.9,744.3,7.5,48.7,1,0,100.0
Monstera,sandy,small,mature,44.0,17.2,88.21332253900282,316.6,5.2,33.0,5,1,89.1
Areca Palm,clay,large,seedling,53.9,18.9,73.4,365.8,4.7,67.5,2,0,87.6
Tulsi,loamy,small,mature,58.8,30.2,77.3,416.5,4.3,57.6,4,0,100.0
Tulsi,clay,medium,young,67.7,30.0,48.7,320.3,5.3,18.3,3,0,96.2
Aloe Vera,clay,small,mature,7.2,18.2,44.9,495.3,6.1,8.8,1,1,97.6
Snake Plant,sandy,large,young,51.9,37.0,47.5,504.9,4.0,18.3,1,0,85.6
Tulsi,clay,medium,young,58.9,17.9,31.8,534.9,5.0,0.2,3,0,86.5
Fern,loamy,medium,mature,76.3,33.6,82.5,247.1,2.7,17.6,3,0,98.8
Areca Palm,clay,small,mature,41.1,27.7,82.4,406.2,7.0,55.7,3,0,100.0
Snake Plant,sandy,large,young,38.1,26.5,84.8,576.5,5.9,66.6,1,0,100.0
Monstera,loamy,large,mature,74.8,20.7,64.31238935993969,120.4,2.1,6.6,4,0,100.0
Money Plant,clay,small,seedling,68.1,31.2,37.7,336.8,4.4,42.5,4,0,92.0
Money Plant,clay,large,seedling,62.5,16.1,80.1,582.1,5.4,61.9,3,0,80.9
Areca Palm,loamy,small,seedling,36.2,21.5,79.8,593.0,6.2,50.1,2,1,83.0
Aloe Vera,clay,medium,young,15.1,22.2,27.1,1132.7,7.2,6.0,1,0,99.4
Peace Lily,clay,medium,young,54.3,27.0,73.3,178.4,3.0,27.8,3,1,96.1
Fern,loamy,small,young,61.1,36.2,81.57880017078888,493.6,4.8,11.5,5,0,87.0
Aloe Vera,sandy,large,seedling,10.0,24.9,26.4,306.0,6.5,58.0,1,0,98.5
Snake Plant,clay,small,mature,34.3,17.5,29.7,361.7,5.2,45.0,2,0,87.8
Areca Palm,sandy,medium,mature,69.0,18.7,64.0,574.9,5.8,50.4,4,0,99.0
Areca Palm,sandy,large,seedling,55.4,19.4,77.9,330.7,6.5,38.8,2,0,100.0
Peace Lily,loamy,large,young,77.4,15.9,62.902527935861954,286.2,2.1,49.1,3,0,88.5
Areca Palm,loamy,small,young,63.3,24.1,92.8,430.6,6.6,33.2,4,0,100.0
Jade Plant,clay,small,seedling,26.5,37.6,75.1,1133.7,9.7,9.6,1,1,66.6
Areca Palm,sandy,large,mature,49.4,34.7,51.2,347.0,6.4,63.8,4,0,100.0
Peace Lily,loamy,small,young,72.5,32.9,81.7,382.0,4.3,22.6,5,0,100.0
Aloe Vera,loamy,small,seedling,14.0,17.4,57.8,698.2,8.8,56.5,1,0,77.7
Monstera,loamy,small,seedling,81.8,23.5,69.2,111.3,4.0,32.0,3,0,100.0
Spider Plant,sandy,small,young,18.1,29.8,78.8,566.9,5.3,32.7,1,1,95.1
Jade Plant,loamy,medium,young,3.7,21.0,25.9,477.3,6.6,64.4,1,1,83.6
Spider Plant,loamy,medium,mature,37.9,33.6,48.3,844.7,8.7,47.9,2,1,96.2
Tulsi,sandy,small,young,47.5,24.6,47.4,499.2,4.1,1.5,2,0,100.0
Monstera,sandy,large,mature,77.8,19.7,90.02923395736244,280.8,3.9,43.6,4,0,97.1
Peace Lily,loamy,large,seedling,55.4,21.6,91.56556673016445,237.7,2.5,39.2,5,0,95.1
Areca Palm,sandy,small,young,34.2,19.6,61.8,456.6,5.6,42.3,2,1,97.4
Aloe Vera,loamy,large,mature,25.4,34.4,76.0,488.2,6.8,67.8,1,1,70.0
Snake Plant,sandy,large,young,33.0,16.3,40.3,931.6,8.3,38.1,1,0,92.8
Monstera,loamy,large,seedling,66.6,28.1,81.8,138.4,2.9,7.3,4,0,100.0
Money Plant,loamy,medium,seedling,43.3,19.3,42.2,557.7,5.1,52.4,4,0,100.0
Aloe Vera,loamy,large,mature,10.3,27.5,42.0,912.8,7.8,14.7,1,0,100.0
Peace Lily,loamy,large,seedling,49.5,22.5,89.09411596737384,459.3,4.3,49.7,5,1,85.7
Fern,sandy,medium,mature,68.0,27.3,72.24972528947316,154.8,3.6,21.7,3,0,100.0
Tulsi,clay,small,seedling,46.6,15.9,41.8,457.2,4.8,4.3,2,0,83.3
Fern,loamy,small,young,82.7,36.3,81.1323931808145,571.1,4.5,19.4,3,0,89.2
Aloe Vera,loamy,large,young,29.2,26.2,67.2,1157.9,8.0,56.1,1,0,100.0
Snake Plant,sandy,small,seedling,14.8,37.8,55.1,475.9,7.0,7.1,2,1,79.9
Jade Plant,clay,small,young,25.1,25.5,87.7,306.1,6.9,3.8,1,0,81.7
Snake Plant,sandy,medium,seedling,24.7,33.9,37.7,321.6,6.6,40.6,2,1,87.5
Tulsi,sandy,small,seedling,51.7,20.1,73.8,523.8,5.9,40.0,4,0,99.3
Money Plant,clay,small,mature,63.2,33.3,30.6,448.8,7.0,55.3,3,0,95.9
Spider Plant,loamy,medium,mature,23.4,26.7,71.3,939.9,7.6,36.6,1,0,100.0
Money Plant,clay,small,mature,41.6,35.1,25.7,471.0,6.5,64.6,3,1,76.4
Aloe Vera,sandy,large,mature,25.8,16.5,28.5,1073.9,8.3,16.7,1,0,88.5
Peace Lily,sandy,small,mature,78.1,30.3,83.7,555.9,5.3,60.4,3,0,100.0
Aloe Vera,loamy,medium,seedling,21.8,22.3,65.2,930.1,7.8,2.1,1,0,100.0
Tulsi,clay,small,young,43.3,19.3,34.7,341.8,4.5,29.8,4,0,100.0
Fern,clay,small,young,51.4,17.5,89.19823565804882,120.7,3.4,35.4,5,1,85.9
Peace Lily,sandy,medium,mature,53.5,37.6,78.73163470928702,135.6,3.5,54.1,5,1,79.3
Aloe Vera,loamy,large,young,7.6,25.9,80.5,778.1,9.8,4.4,1,1,84.6
Jade Plant,clay,large,mature,14.2,22.0,30.8,513.3,6.7,44.8,1,0,96.1
Areca Palm,clay,medium,young,47.9,22.8,27.8,496.3,4.0,62.4,2,0,95.3
Fern,loamy,medium,young,43.8,30.0,89.17253122311564,347.9,4.6,63.8,3,1,84.6
Money Plant,clay,small,mature,54.0,36.6,94.6,322.6,4.1,29.1,3,0,86.4
Peace Lily,sandy,large,mature,75.3,20.5,75.6,465.0,5.0,59.3,5,0,99.4
Tulsi,sandy,large,seedling,45.5,18.7,67.4,329.7,4.9,9.1,3,0,86.2
Tulsi,sandy,large,young,52.8,25.0,48.9,334.2,5.1,50.5,4,0,100.0
Areca Palm,loamy,medium,seedling,41.0,15.3,76.8,484.8,5.7,18.1,4,0,77.1
Jade Plant,clay,large,seedling,20.0,26.3,34.8,434.2,6.0,4.4,1,0,99.7
Peace Lily,clay,medium,young,84.1,15.7,88.17796591148833,454.5,5.4,25.8,5,0,86.9
Spider Plant,clay,large,seedling,31.3,30.4,67.6,307.8,4.6,15.1,1,0,85.2
Fern,loamy,small,mature,68.1,28.7,76.0,399.7,5.8,62.9,4,0,97.9
Money Plant,loamy,large,mature,41.2,26.5,86.9,575.0,4.5,41.3,3,0,95.3
Snake Plant,loamy,small,mature,36.6,30.0,64.0,513.4,4.1,30.2,2,0,95.6
Fern,clay,small,mature,46.4,22.0,68.07190192954708,568.1,5.9,70.7,4,1,88.8
Areca Palm,clay,large,seedling,44.2,29.5,34.0,384.5,5.0,22.1,2,0,87.1
Tulsi,loamy,large,mature,52.2,23.2,47.8,552.7,4.7,16.5,3,0,95.3
Peace Lily,loamy,medium,seedling,45.7,19.3,82.3996208183391,150.3,3.1,9.2,4,1,99.8
Tulsi,loamy,small,seedling,69.2,35.6,93.0,370.5,6.3,53.6,2,0,83.9
Money Plant,loamy,small,seedling,38.5,29.6,70.5,482.3,6.9,34.1,4,1,85.6
Tulsi,loamy,large,young,38.4,15.7,69.5,334.4,6.5,54.3,3,1,75.2
Snake Plant,sandy,medium,mature,32.6,35.9,73.4,568.1,5.7,17.4,2,1,88.9
Areca Palm,clay,small,young,51.0,31.8,35.2,561.9,6.1,47.6,3,0,96.6
Tulsi,loamy,large,mature,44.4,36.6,81.9,480.6,4.7,31.6,4,1,92.4
Tulsi,loamy,small,mature,56.7,35.9,78.1,326.6,5.8,71.2,3,0,90.2
Jade Plant,loamy,small,young,8.1,21.9,48.0,792.0,7.8,14.3,1,1,100.0
Money Plant,clay,small,seedling,68.6,19.0,39.0,385.9,5.7,5.7,2,0,98.9
Jade Plant,sandy,medium,young,17.9,30.0,42.1,516.3,6.9,48.3,1,0,100.0
Spider Plant,loamy,medium,mature,41.3,15.5,42.1,458.3,4.4,43.0,2,0,86.5
Aloe Vera,sandy,large,seedling,19.6,16.7,89.0,762.9,9.8,27.0,1,0,64.8
Monstera,clay,large,young,80.4,35.0,86.7,196.7,4.0,19.3,3,0,97.9
Money Plant,clay,large,seedling,43.1,20.6,61.8,343.9,4.7,1.8,3,0,98.3
Areca Palm,clay,small,mature,41.3,16.2,84.2,481.0,6.5,8.8,3,0,90.3
Peace Lily,loamy,medium,seedling,81.2,36.9,70.6,171.6,2.9,28.1,4,0,80.8
Fern,clay,medium,seedling,56.1,18.1,80.65217229830421,360.3,5.8,18.3,3,0,88.9
Jade Plant,sandy,medium,seedling,9.1,35.2,46.5,375.3,6.8,65.3,1,1,68.5
Monstera,clay,large,mature,68.2,29.1,75.8715212878719,350.7,5.1,28.0,5,0,100.0
Spider Plant,clay,large,mature,22.0,38.0,80.3,1047.0,7.5,33.1,2,1,86.2
Areca Palm,sandy,medium,mature,47.2,15.5,94.7,391.0,4.5,9.7,2,0,87.0
Monstera,clay,large,young,43.9,33.2,73.80866764143958,472.1,6.0,68.9,4,1,87.6
Peace Lily,loamy,small,mature,55.2,19.8,76.22401116659236,550.4,5.4,27.4,4,0,96.7
Spider Plant,loamy,large,mature,32.8,23.9,72.1,589.4,4.6,0.4,2,0,97.6
Peace Lily,loamy,medium,young,73.7,32.8,61.995738698837606,574.5,4.5,2.2,4,0,100.0
Jade Plant,sandy,medium,seedling,23.0,32.2,67.3,404.1,6.5,26.9,1,0,88.4
Tulsi,loamy,small,young,39.2,30.4,33.7,464.7,4.8,55.6,2,1,82.7
Areca Palm,clay,large,seedling,57.5,35.7,63.9,487.6,4.2,33.4,4,0,78.9
Tulsi,loamy,medium,seedling,45.4,34.5,85.8,523.0,4.7,2.5,2,0,91.9
Jade Plant,clay,large,young,9.0,16.9,82.3,640.1,9.4,55.1,1,1,55.2
Areca Palm,clay,small,young,43.2,27.5,37.2,578.2,6.9,33.4,4,0,96.2
Peace Lily,clay,large,mature,75.2,21.5,92.0,100.6,3.2,8.0,3,0,100.0
Peace Lily,sandy,small,seedling,63.5,21.1,74.4332699616603,510.4,4.1,7.3,5,0,100.0
Spider Plant,clay,medium,seedling,22.7,20.6,39.0,431.7,4.2,45.3,1,0,98.0
Spider Plant,sandy,small,seedling,20.9,15.9,56.0,473.4,5.2,19.0,2,0,77.7
Monstera,sandy,small,young,76.7,33.2,78.75639050698153,191.5,2.1,10.1,5,0,100.0
Aloe Vera,clay,small,young,22.7,16.7,25.1,1098.6,7.8,24.5,1,0,94.3
Spider Plant,clay,large,seedling,40.6,15.2,58.2,590.6,4.2,71.6,2,0,82.9
Fern,sandy,large,young,81.7,15.7,73.71605814893091,322.2,4.2,6.6,3,0,90.3
Money Plant,sandy,medium,seedling,56.0,22.9,90.2,306.6,6.9,58.1,3,0,98.3
Money Plant,loamy,large,young,61.0,19.4,64.0,587.7,4.3,10.1,3,0,100.0
